Question,Score,Feedback
Explain the difference between lists and tuples in Python.,9.66,Excellent response! Strong understanding.
Describe the role of indentation in Python.,9.21,Excellent response! Strong understanding.
What are Python's built-in data types?,9.52,Excellent response! Strong understanding.
Explain how Python handles memory management.,9.73,Excellent response! Strong understanding.
"What are Python decorators, and how are they used?",9.5,Excellent response! Strong understanding.
What is the difference between deep copy and shallow copy in Python?,9.47,Excellent response! Strong understanding.
What are Python modules and packages?,9.89,Excellent response! Strong understanding.
Explain the Global Interpreter Lock (GIL) in Python.,9.63,Excellent response! Strong understanding.
How does exception handling work in Python?,9.43,Excellent response! Strong understanding.
How do you create a virtual environment in Python?,10.0,Excellent response! Strong understanding.
