Question,Score,Feedback
Explain the difference between lists and tuples in Python.,7.57,Good response. Minor improvements needed.
Describe the role of indentation in Python.,5.99,Fair response. Needs more development.
What are Python's built-in data types?,6.11,Good response. Minor improvements needed.
Explain how Python handles memory management.,8.15,Excellent response! Strong understanding.
"What are Python decorators, and how are they used?",7.69,Good response. Minor improvements needed.
What is the difference between deep copy and shallow copy in Python?,8.44,Excellent response! Strong understanding.
What are Python modules and packages?,8.28,Excellent response! Strong understanding.
Explain the Global Interpreter Lock (GIL) in Python.,7.07,Good response. Minor improvements needed.
How does exception handling work in Python?,5.33,Fair response. Needs more development.
How do you create a virtual environment in Python?,6.44,Good response. Minor improvements needed.
